shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
S1_0,40.8681,-73.918,1,0.0
S1_0,40.867833,-73.918333,2,0.041
S1_0,40.867567,-73.918667,3,0.082
S1_0,40.8673,-73.919,4,0.122
S1_0,40.867033,-73.919333,5,0.163
S1_0,40.866767,-73.919667,6,0.204
S1_0,40.8665,-73.92,7,0.245
S1_0,40.865517,-73.9209,8,0.378
S1_0,40.864533,-73.9218,9,0.511
S1_0,40.86355,-73.9227,10,0.644
S1_0,40.862567,-73.9236,11,0.777
S1_0,40.861583,-73.9245,12,0.91
S1_0,40.8606,-73.9254,13,1.043
S1_0,40.859,-73.926,14,1.228
S1_0,40.8574,-73.9266,15,1.413
S1_0,40.8558,-73.9272,16,1.597
S1_0,40.8542,-73.9278,17,1.782
S1_0,40.8526,-73.9284,18,1.967
S1_0,40.851,-73.929,19,2.152
S1_0,40.8438,-73.931767,20,2.986
S1_0,40.8366,-73.934533,21,3.82
S1_0,40.8294,-73.9373,22,4.654
S1_0,40.8222,-73.940067,23,5.487
S1_0,40.815,-73.942833,24,6.321
S1_0,40.8078,-73.9456,25,7.155
S1_0,40.80775,-73.947833,26,7.343
S1_0,40.8077,-73.950067,27,7.531
S1_0,40.80765,-73.9523,28,7.719
S1_0,40.8076,-73.954533,29,7.907
S1_0,40.80755,-73.956767,30,8.095
S1_0,40.8075,-73.959,31,8.283
S1_0,40.807433,-73.959883,32,8.358
S1_0,40.807367,-73.960767,33,8.433
S1_0,40.8073,-73.96165,34,8.507
S1_0,40.807233,-73.962533,35,8.582
S1_0,40.807167,-73.963417,36,8.657
S1_0,40.8071,-73.9643,37,8.731
S1_0,40.80475,-73.965667,38,9.017
S1_0,40.8024,-73.967033,39,9.302
S1_0,40.80005,-73.9684,40,9.588
S1_0,40.7977,-73.969767,41,9.873
S1_0,40.79535,-73.971133,42,10.159
S1_0,40.793,-73.9725,43,10.444
S1_0,40.79065,-73.974067,44,10.737
S1_0,40.7883,-73.975633,45,11.03
S1_0,40.78595,-73.9772,46,11.323
S1_0,40.7836,-73.978767,47,11.615
S1_0,40.78125,-73.980333,48,11.908
S1_0,40.7789,-73.9819,49,12.201
S1_0,40.777833,-73.982167,50,12.321
S1_0,40.776767,-73.982433,51,12.442
S1_0,40.7757,-73.9827,52,12.563
S1_0,40.774633,-73.982967,53,12.684
S1_0,40.773567,-73.983233,54,12.804
S1_0,40.7725,-73.9835,55,12.925
S1_0,40.771767,-73.983233,56,13.01
S1_0,40.771033,-73.982967,57,13.094
S1_0,40.7703,-73.9827,58,13.179
S1_0,40.769567,-73.982433,59,13.263
S1_0,40.768833,-73.982167,60,13.348
S1_0,40.7681,-73.9819,61,13.432
S1_0,40.767083,-73.98225,62,13.549
S1_0,40.766067,-73.9826,63,13.666
S1_0,40.76505,-73.98295,64,13.783
S1_0,40.764033,-73.9833,65,13.9
S1_0,40.763017,-73.98365,66,14.017
S1_0,40.762,-73.984,67,14.133
S1_0,40.760883,-73.9845,68,14.265
S1_0,40.759767,-73.985,69,14.396
S1_0,40.75865,-73.9855,70,14.527
S1_0,40.757533,-73.986,71,14.658
S1_0,40.756417,-73.9865,72,14.789
S1_0,40.7553,-73.987,73,14.92
S1_0,40.75475,-73.98725,74,14.985
S1_0,40.7542,-73.9875,75,15.05
S1_0,40.75365,-73.98775,76,15.114
S1_0,40.7531,-73.988,77,15.179
S1_0,40.75255,-73.98825,78,15.244
S1_0,40.752,-73.9885,79,15.308
S1_0,40.751617,-73.988367,80,15.352
S1_0,40.751233,-73.988233,81,15.396
S1_0,40.75085,-73.9881,82,15.44
S1_0,40.750467,-73.987967,83,15.485
S1_0,40.750083,-73.987833,84,15.529
S1_0,40.7497,-73.9877,85,15.573
S1_0,40.748417,-73.987683,86,15.715
S1_0,40.747133,-73.987667,87,15.858
S1_0,40.74585,-73.98765,88,16.001
S1_0,40.744567,-73.987633,89,16.144
S1_0,40.743283,-73.987617,90,16.286
S1_0,40.742,-73.9876,91,16.429
S1_0,40.740983,-73.9881,92,16.55
S1_0,40.739967,-73.9886,93,16.67
S1_0,40.73895,-73.9891,94,16.791
S1_0,40.737933,-73.9896,95,16.912
S1_0,40.736917,-73.9901,96,17.032
S1_0,40.7359,-73.9906,97,17.153
S1_0,40.73475,-73.9915,98,17.301
S1_0,40.7336,-73.9924,99,17.45
S1_0,40.73245,-73.9933,100,17.599
S1_0,40.7313,-73.9942,101,17.747
S1_0,40.73015,-73.9951,102,17.896
S1_0,40.729,-73.996,103,18.045
S1_0,40.7293,-73.996217,104,18.083
S1_0,40.7296,-73.996433,105,18.121
S1_0,40.7299,-73.99665,106,18.159
S1_0,40.7302,-73.996867,107,18.197
S1_0,40.7305,-73.997083,108,18.235
S1_0,40.7308,-73.9973,109,18.273
S1_0,40.7295,-73.99775,110,18.422
S1_0,40.7282,-73.9982,111,18.572
S1_0,40.7269,-73.99865,112,18.721
S1_0,40.7256,-73.9991,113,18.871
S1_0,40.7243,-73.99955,114,19.02
S1_0,40.723,-74.0,115,19.17
S1_0,40.72325,-74.000167,116,19.201
S1_0,40.7235,-74.000333,117,19.232
S1_0,40.72375,-74.0005,118,19.263
S1_0,40.724,-74.000667,119,19.294
S1_0,40.72425,-74.000833,120,19.325
S1_0,40.7245,-74.001,121,19.357
S1_0,40.723583,-74.001133,122,19.459
S1_0,40.722667,-74.001267,123,19.562
