stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
34F,34F,East 34 St Ferry,,40.7446,-73.9718,Z1,,0,HUB_34F,,1,L_STREET,F1
5AV59,5AV59,5 Av / 59 St,,40.7642,-73.9738,Z1,,0,,,1,L_STREET,
AST_S,AST_S,Astoria-Ditmars,,40.775,-73.912,Z1,,0,HUB_AST,,1,L_STREET,P1
BAR,BAR,Barclays Center,,40.6843,-73.9779,Z1,,0,,,1,L_STREET,
BBP,BBP,Brooklyn Bridge Park,,40.7002,-73.9969,Z2,,0,,,1,L_STREET,
BKH,BKH,Brooklyn Heights,,40.6955,-73.9958,Z2,,0,,,1,L_STREET,
BNY,BNY,Brooklyn Navy Yard,,40.6996,-73.9726,Z1,,0,,,1,L_STREET,
BRB,BRB,Brighton Beach,,40.5777,-73.9616,Z1,,0,,,1,L_STREET,
BRY,BRY,Bryant Park,,40.7536,-73.9832,Z2,,0,,,1,L_STREET,
CCL,CCL,Columbus Circle,,40.7681,-73.9819,Z2,,0,,,1,L_STREET,
CHE,CHE,Chelsea Market,,40.7423,-74.006,Z2,,0,,,1,L_STREET,
CHL,CHL,City Hall,,40.713,-74.0062,Z2,,0,,,1,L_STREET,
CHV,CHV,Church Ave,,40.6504,-73.9622,Z1,,0,,,1,L_STREET,
CNL,CNL,Canal St,,40.719,-74.0018,Z2,,0,,,1,L_STREET,
CNY_S,CNY_S,Coney Island-Stillwell Av,,40.5773,-73.9819,Z2,,0,HUB_CNY,,1,L_STREET,P1
CUM,CUM,Columbia University,,40.8071,-73.9643,Z1,,0,,,1,L_STREET,
DBK_S,DBK_S,Downtown Brooklyn,,40.6927,-73.9893,Z2,,0,HUB_DBK,,1,L_STREET,P1
DOM,DOM,Domino Park,,40.7168,-73.967,Z1,,0,,,1,L_STREET,
DUM_F,DUM_F,DUMBO / Fulton Ferry,,40.7033,-73.9931,Z2,,0,HUB_DUM,,1,L_STREET,F1
DYK,DYK,Dyckman St,,40.8606,-73.9254,Z1,,0,,,1,L_STREET,
EVL,EVL,East Village,,40.728,-73.9858,Z2,,0,,,1,L_STREET,
FRH,FRH,Forest Hills,,40.7193,-73.8448,Z1,,0,,,1,L_STREET,
GCT_S,GCT_S,Grand Central,,40.7527,-73.9772,Z1,,0,HUB_GCT,,1,L_STREET,P1
GRN,GRN,Greenpoint,,40.7302,-73.954,Z1,,0,,,1,L_STREET,
HAR_S,HAR_S,Harlem-125 St,,40.8078,-73.9456,Z1,,0,HUB_HAR,,1,L_STREET,P1
HSQ,HSQ,Herald Square,,40.7497,-73.9877,Z2,,0,,,1,L_STREET,
HYD,HYD,Hudson Yards,,40.754,-74.0027,Z2,,0,,,1,L_STREET,
INW_S,INW_S,Inwood-207 St,,40.8681,-73.918,Z1,,0,HUB_INW,,1,L_STREET,P1
JAM,JAM,Jamaica Center,,40.7021,-73.8012,Z1,,0,,,1,L_STREET,
JFK_B,JFK_B,JFK Terminal 8,,40.6461,-73.7881,Z1,,0,HUB_JFK,,1,L_STREET,B1
JHX,JHX,Jackson Heights,,40.7468,-73.8903,Z1,,0,,,1,L_STREET,
KGH,KGH,Kings Hwy,,40.6085,-73.957,Z1,,0,,,1,L_STREET,
LCC,LCC,Lincoln Center,,40.7725,-73.9835,Z2,,0,,,1,L_STREET,
LES,LES,Lower East Side,,40.7173,-73.9808,Z2,,0,,,1,L_STREET,
LGA_B,LGA_B,LaGuardia Terminal B,,40.7754,-73.8724,Z1,,0,HUB_LGA,,1,L_STREET,B1
LIC_S,LIC_S,Long Island City,,40.7443,-73.9489,Z1,,0,HUB_LIC,,1,L_STREET,P1
MAD,MAD,Madison Sq,,40.742,-73.9876,Z2,,0,,,1,L_STREET,
MMA,MMA,Museum Mile,,40.7798,-73.9638,Z1,,0,,,1,L_STREET,
PPK_S,PPK_S,Prospect Park,,40.661,-73.968,Z1,,0,HUB_PPK,,1,L_STREET,P1
PRH,PRH,Prospect Heights,,40.6768,-73.9713,Z1,,0,,,1,L_STREET,
PSN,PSN,Penn Station,,40.7506,-73.9935,Z2,,0,,,1,L_STREET,
QBP,QBP,Queensboro Plaza,,40.7504,-73.9403,Z1,,0,,,1,L_STREET,
QCT,QCT,Queens Center,,40.7345,-73.8708,Z1,,0,,,1,L_STREET,
SHB,SHB,Sheepshead Bay,,40.5866,-73.9548,Z1,,0,,,1,L_STREET,
SOH,SOH,SoHo / Houston,,40.7245,-74.001,Z2,,0,,,1,L_STREET,
SUN,SUN,Sunnyside,,40.7425,-73.9247,Z1,,0,,,1,L_STREET,
THA,THA,30 Av,,40.7668,-73.9212,Z1,,0,,,1,L_STREET,
TSQ_S,TSQ_S,Times Sq-42 St,,40.7553,-73.987,Z2,,0,HUB_TSQ,,1,L_STREET,P1
UES,UES,Upper East Side 86 St,,40.7791,-73.9558,Z1,,0,,,1,L_STREET,
USQ,USQ,Union Square,,40.7359,-73.9906,Z2,,0,,,1,L_STREET,
UWS_S,UWS_S,72 St,,40.7789,-73.9819,Z2,,0,HUB_UWS,,1,L_STREET,P1
WBG_S,WBG_S,Williamsburg,,40.7083,-73.9571,Z1,,0,HUB_WBG,,1,L_STREET,P1
WSL_F,WSL_F,Wall St / Pier 11,,40.7046,-74.0067,Z2,,0,HUB_WSP,,1,L_STREET,F1
WSP,WSP,Washington Sq,,40.7308,-73.9973,Z2,,0,,,1,L_STREET,
WTC_S,WTC_S,World Trade Center,,40.7127,-74.0099,Z2,,0,HUB_WTC,,1,L_STREET,P1
HUB_34F,HUB_34F,East 34 St Ferry,,40.7446,-73.9718,Z1,,1,,,1,L_STREET,
HUB_AST,HUB_AST,Astoria-Ditmars,,40.775,-73.912,Z1,,1,,,1,L_STREET,
HUB_CNY,HUB_CNY,Coney Island-Stillwell Av,,40.5773,-73.9819,Z1,,1,,,1,L_STREET,
HUB_DBK,HUB_DBK,Downtown Brooklyn,,40.6927,-73.9893,Z1,,1,,,1,L_STREET,
HUB_DUM,HUB_DUM,DUMBO / Fulton Ferry,,40.7033,-73.9931,Z1,,1,,,1,L_STREET,
HUB_GCT,HUB_GCT,Grand Central,,40.7527,-73.9772,Z1,,1,,,1,L_STREET,
HUB_HAR,HUB_HAR,Harlem-125 St,,40.8078,-73.9456,Z1,,1,,,1,L_STREET,
HUB_INW,HUB_INW,Inwood-207 St,,40.8681,-73.918,Z1,,1,,,1,L_STREET,
HUB_JFK,HUB_JFK,JFK Terminal 8,,40.6461,-73.7881,Z1,,1,,,1,L_STREET,
HUB_LGA,HUB_LGA,LaGuardia Terminal B,,40.7754,-73.8724,Z1,,1,,,1,L_STREET,
HUB_LIC,HUB_LIC,Long Island City,,40.7443,-73.9489,Z1,,1,,,1,L_STREET,
HUB_PPK,HUB_PPK,Prospect Park,,40.661,-73.968,Z1,,1,,,1,L_STREET,
HUB_TSQ,HUB_TSQ,Times Sq-42 St,,40.7553,-73.987,Z1,,1,,,1,L_STREET,
HUB_UWS,HUB_UWS,72 St / Upper West Side,,40.7789,-73.9819,Z1,,1,,,1,L_STREET,
HUB_WBG,HUB_WBG,Williamsburg,,40.7083,-73.9571,Z1,,1,,,1,L_STREET,
HUB_WSP,HUB_WSP,Wall St / Pier 11,,40.7046,-74.0067,Z1,,1,,,1,L_STREET,
HUB_WTC,HUB_WTC,World Trade Center,,40.7127,-74.0099,Z1,,1,,,1,L_STREET,
B1_0_X1_1,B1_0_X1_1,LaGuardia Terminal B / Jackson Heights 1,Synthetic infill stop for demo feed,40.772850,-73.884448,Z1,,0,,,1,L_STREET,
B1_0_X1_2,B1_0_X1_2,LaGuardia Terminal B / Jackson Heights 2,Synthetic infill stop for demo feed,40.765992,-73.890062,Z1,,0,,,1,L_STREET,
B1_0_X1_3,B1_0_X1_3,LaGuardia Terminal B / Jackson Heights 3,Synthetic infill stop for demo feed,40.756396,-73.890181,Z1,,0,,,1,L_STREET,
B1_0_X2_1,B1_0_X2_1,Jackson Heights / Sunnyside 1,Synthetic infill stop for demo feed,40.745181,-73.901725,Z1,,0,,,1,L_STREET,
B1_0_X2_2,B1_0_X2_2,Jackson Heights / Sunnyside 2,Synthetic infill stop for demo feed,40.743824,-73.913204,Z1,,0,,,1,L_STREET,
B1_0_X3_1,B1_0_X3_1,Sunnyside / Long Island City 1,Synthetic infill stop for demo feed,40.742715,-73.932814,Z1,,0,,,1,L_STREET,
B1_0_X3_2,B1_0_X3_2,Sunnyside / Long Island City 2,Synthetic infill stop for demo feed,40.743367,-73.940873,Z1,,0,,,1,L_STREET,
B1_0_X4_1,B1_0_X4_1,Long Island City / Grand Central 1,Synthetic infill stop for demo feed,40.746325,-73.958723,Z1,,0,,,1,L_STREET,
B1_0_X4_2,B1_0_X4_2,Long Island City / Grand Central 2,Synthetic infill stop for demo feed,40.750277,-73.967505,Z1,,0,,,1,L_STREET,
B1_0_X7_1,B1_0_X7_1,Times Sq-42 St / Penn Station,Synthetic infill stop for demo feed,40.753602,-73.991431,Z2,,0,,,1,L_STREET,
B1_0_X8_1,B1_0_X8_1,Penn Station / Chelsea Market,Synthetic infill stop for demo feed,40.745355,-73.998665,Z2,,0,,,1,L_STREET,
B1_1_X1_1,B1_1_X1_1,Chelsea Market / Penn Station,Synthetic infill stop for demo feed,40.745355,-73.998665,Z2,,0,,,1,L_STREET,
B1_1_X2_1,B1_1_X2_1,Penn Station / Times Sq-42 St,Synthetic infill stop for demo feed,40.753602,-73.991431,Z2,,0,,,1,L_STREET,
B1_1_X5_1,B1_1_X5_1,Grand Central / Long Island City 1,Synthetic infill stop for demo feed,40.750281,-73.967513,Z1,,0,,,1,L_STREET,
B1_1_X5_2,B1_1_X5_2,Grand Central / Long Island City 2,Synthetic infill stop for demo feed,40.746325,-73.958723,Z1,,0,,,1,L_STREET,
B1_1_X6_1,B1_1_X6_1,Long Island City / Sunnyside 1,Synthetic infill stop for demo feed,40.743367,-73.940876,Z1,,0,,,1,L_STREET,
B1_1_X6_2,B1_1_X6_2,Long Island City / Sunnyside 2,Synthetic infill stop for demo feed,40.742715,-73.932814,Z1,,0,,,1,L_STREET,
B1_1_X7_1,B1_1_X7_1,Sunnyside / Jackson Heights 1,Synthetic infill stop for demo feed,40.743824,-73.913212,Z1,,0,,,1,L_STREET,
B1_1_X7_2,B1_1_X7_2,Sunnyside / Jackson Heights 2,Synthetic infill stop for demo feed,40.745182,-73.901717,Z1,,0,,,1,L_STREET,
B1_1_X8_1,B1_1_X8_1,Jackson Heights / LaGuardia Terminal B 1,Synthetic infill stop for demo feed,40.756397,-73.890181,Z1,,0,,,1,L_STREET,
B1_1_X8_2,B1_1_X8_2,Jackson Heights / LaGuardia Terminal B 2,Synthetic infill stop for demo feed,40.765995,-73.890062,Z1,,0,,,1,L_STREET,
B1_1_X8_3,B1_1_X8_3,Jackson Heights / LaGuardia Terminal B 3,Synthetic infill stop for demo feed,40.772848,-73.884457,Z1,,0,,,1,L_STREET,
B2_0_X1_1,B2_0_X1_1,Hudson Yards / Chelsea Market 1,Synthetic infill stop for demo feed,40.753312,-73.997000,Z2,,0,,,1,L_STREET,
B2_0_X1_2,B2_0_X1_2,Hudson Yards / Chelsea Market 2,Synthetic infill stop for demo feed,40.749088,-73.998066,Z2,,0,,,1,L_STREET,
B2_0_X1_3,B2_0_X1_3,Hudson Yards / Chelsea Market 3,Synthetic infill stop for demo feed,40.745693,-74.002034,Z2,,0,,,1,L_STREET,
B2_0_X2_1,B2_0_X2_1,Chelsea Market / Penn Station 1,Synthetic infill stop for demo feed,40.744379,-74.000944,Z2,,0,,,1,L_STREET,
B2_0_X2_2,B2_0_X2_2,Chelsea Market / Penn Station 2,Synthetic infill stop for demo feed,40.746826,-73.996372,Z2,,0,,,1,L_STREET,
B2_0_X3_1,B2_0_X3_1,Penn Station / Herald Square,Synthetic infill stop for demo feed,40.746233,-73.991127,Z2,,0,,,1,L_STREET,
B2_0_X4_1,B2_0_X4_1,Herald Square / Madison Sq,Synthetic infill stop for demo feed,40.745850,-73.987650,Z2,,0,,,1,L_STREET,
B2_0_X5_1,B2_0_X5_1,Madison Sq / Union Square,Synthetic infill stop for demo feed,40.739859,-73.990211,Z2,,0,,,1,L_STREET,
B2_0_X6_1,B2_0_X6_1,Union Square / East Village 1,Synthetic infill stop for demo feed,40.735911,-73.985503,Z2,,0,,,1,L_STREET,
B2_0_X6_2,B2_0_X6_2,Union Square / East Village 2,Synthetic infill stop for demo feed,40.731955,-73.985652,Z2,,0,,,1,L_STREET,
B2_0_X7_1,B2_0_X7_1,East Village / Lower East Side 1,Synthetic infill stop for demo feed,40.725365,-73.982290,Z2,,0,,,1,L_STREET,
B2_0_X7_2,B2_0_X7_2,East Village / Lower East Side 2,Synthetic infill stop for demo feed,40.721333,-73.981545,Z2,,0,,,1,L_STREET,
B2_1_X1_1,B2_1_X1_1,Lower East Side / East Village 1,Synthetic infill stop for demo feed,40.721333,-73.981545,Z2,,0,,,1,L_STREET,
B2_1_X1_2,B2_1_X1_2,Lower East Side / East Village 2,Synthetic infill stop for demo feed,40.725356,-73.982289,Z2,,0,,,1,L_STREET,
B2_1_X2_1,B2_1_X2_1,East Village / Union Square 1,Synthetic infill stop for demo feed,40.731955,-73.985652,Z2,,0,,,1,L_STREET,
B2_1_X2_2,B2_1_X2_2,East Village / Union Square 2,Synthetic infill stop for demo feed,40.735910,-73.985503,Z2,,0,,,1,L_STREET,
B2_1_X3_1,B2_1_X3_1,Union Square / Madison Sq,Synthetic infill stop for demo feed,40.739859,-73.990211,Z2,,0,,,1,L_STREET,
B2_1_X4_1,B2_1_X4_1,Madison Sq / Herald Square,Synthetic infill stop for demo feed,40.745854,-73.987650,Z2,,0,,,1,L_STREET,
B2_1_X5_1,B2_1_X5_1,Herald Square / Penn Station,Synthetic infill stop for demo feed,40.746238,-73.991129,Z2,,0,,,1,L_STREET,
B2_1_X6_1,B2_1_X6_1,Penn Station / Chelsea Market 1,Synthetic infill stop for demo feed,40.746827,-73.996371,Z2,,0,,,1,L_STREET,
B2_1_X6_2,B2_1_X6_2,Penn Station / Chelsea Market 2,Synthetic infill stop for demo feed,40.744379,-74.000944,Z2,,0,,,1,L_STREET,
B2_1_X7_1,B2_1_X7_1,Chelsea Market / Hudson Yards 1,Synthetic infill stop for demo feed,40.745691,-74.002037,Z2,,0,,,1,L_STREET,
B2_1_X7_2,B2_1_X7_2,Chelsea Market / Hudson Yards 2,Synthetic infill stop for demo feed,40.749086,-73.998068,Z2,,0,,,1,L_STREET,
B2_1_X7_3,B2_1_X7_3,Chelsea Market / Hudson Yards 3,Synthetic infill stop for demo feed,40.753312,-73.997000,Z2,,0,,,1,L_STREET,
B4_0_X1_1,B4_0_X1_1,Downtown Brooklyn / Brooklyn Heights,Synthetic infill stop for demo feed,40.694100,-73.992550,Z2,,0,,,1,L_STREET,
B4_0_X2_1,B4_0_X2_1,Brooklyn Heights / Brooklyn Bridge Park,Synthetic infill stop for demo feed,40.697846,-73.996349,Z2,,0,,,1,L_STREET,
B4_0_X4_1,B4_0_X4_1,DUMBO / Fulton Ferry / Brooklyn Navy Yard 1,Synthetic infill stop for demo feed,40.704654,-73.986076,Z2,,0,,,1,L_STREET,
B4_0_X4_2,B4_0_X4_2,DUMBO / Fulton Ferry / Brooklyn Navy Yard 2,Synthetic infill stop for demo feed,40.702128,-73.979341,Z2,,0,,,1,L_STREET,
B4_0_X5_1,B4_0_X5_1,Brooklyn Navy Yard / Williamsburg 1,Synthetic infill stop for demo feed,40.704089,-73.969302,Z1,,0,,,1,L_STREET,
B4_0_X5_2,B4_0_X5_2,Brooklyn Navy Yard / Williamsburg 2,Synthetic infill stop for demo feed,40.706307,-73.963341,Z1,,0,,,1,L_STREET,
B4_0_X6_1,B4_0_X6_1,Williamsburg / Domino Park,Synthetic infill stop for demo feed,40.712553,-73.962054,Z1,,0,,,1,L_STREET,
B4_0_X7_1,B4_0_X7_1,Domino Park / Greenpoint 1,Synthetic infill stop for demo feed,40.721269,-73.962665,Z1,,0,,,1,L_STREET,
B4_0_X7_2,B4_0_X7_2,Domino Park / Greenpoint 2,Synthetic infill stop for demo feed,40.725731,-73.958335,Z1,,0,,,1,L_STREET,
B4_0_X8_1,B4_0_X8_1,Greenpoint / Long Island City 1,Synthetic infill stop for demo feed,40.734658,-73.951169,Z1,,0,,,1,L_STREET,
B4_0_X8_2,B4_0_X8_2,Greenpoint / Long Island City 2,Synthetic infill stop for demo feed,40.739385,-73.949593,Z1,,0,,,1,L_STREET,
B4_1_X1_1,B4_1_X1_1,Long Island City / Greenpoint 1,Synthetic infill stop for demo feed,40.739385,-73.949593,Z1,,0,,,1,L_STREET,
B4_1_X1_2,B4_1_X1_2,Long Island City / Greenpoint 2,Synthetic infill stop for demo feed,40.734652,-73.951173,Z1,,0,,,1,L_STREET,
B4_1_X2_1,B4_1_X2_1,Greenpoint / Domino Park 1,Synthetic infill stop for demo feed,40.725731,-73.958335,Z1,,0,,,1,L_STREET,
B4_1_X2_2,B4_1_X2_2,Greenpoint / Domino Park 2,Synthetic infill stop for demo feed,40.721269,-73.962665,Z1,,0,,,1,L_STREET,
B4_1_X3_1,B4_1_X3_1,Domino Park / Williamsburg,Synthetic infill stop for demo feed,40.712547,-73.962046,Z1,,0,,,1,L_STREET,
B4_1_X4_1,B4_1_X4_1,Williamsburg / Brooklyn Navy Yard 1,Synthetic infill stop for demo feed,40.706307,-73.963342,Z1,,0,,,1,L_STREET,
B4_1_X4_2,B4_1_X4_2,Williamsburg / Brooklyn Navy Yard 2,Synthetic infill stop for demo feed,40.704081,-73.969308,Z1,,0,,,1,L_STREET,
B4_1_X5_1,B4_1_X5_1,Brooklyn Navy Yard / DUMBO / Fulton Ferry 1,Synthetic infill stop for demo feed,40.702129,-73.979343,Z1,,0,,,1,L_STREET,
B4_1_X5_2,B4_1_X5_2,Brooklyn Navy Yard / DUMBO / Fulton Ferry 2,Synthetic infill stop for demo feed,40.704656,-73.986083,Z1,,0,,,1,L_STREET,
B4_1_X7_1,B4_1_X7_1,Brooklyn Bridge Park / Brooklyn Heights,Synthetic infill stop for demo feed,40.697850,-73.996350,Z2,,0,,,1,L_STREET,
B4_1_X8_1,B4_1_X8_1,Brooklyn Heights / Downtown Brooklyn,Synthetic infill stop for demo feed,40.694102,-73.992555,Z2,,0,,,1,L_STREET,
B5_0_X1_1,B5_0_X1_1,JFK Terminal 8 / Jamaica Center 1,Synthetic infill stop for demo feed,40.655408,-73.799288,Z1,,0,,,1,L_STREET,
B5_0_X1_2,B5_0_X1_2,JFK Terminal 8 / Jamaica Center 2,Synthetic infill stop for demo feed,40.666260,-73.807695,Z1,,0,,,1,L_STREET,
B5_0_X1_3,B5_0_X1_3,JFK Terminal 8 / Jamaica Center 3,Synthetic infill stop for demo feed,40.677781,-73.809926,Z1,,0,,,1,L_STREET,
B5_0_X1_4,B5_0_X1_4,JFK Terminal 8 / Jamaica Center 4,Synthetic infill stop for demo feed,40.689940,-73.805563,Z1,,0,,,1,L_STREET,
B5_0_X2_1,B5_0_X2_1,Jamaica Center / Forest Hills 1,Synthetic infill stop for demo feed,40.708973,-73.814945,Z1,,0,,,1,L_STREET,
B5_0_X2_2,B5_0_X2_2,Jamaica Center / Forest Hills 2,Synthetic infill stop for demo feed,40.714618,-73.829537,Z1,,0,,,1,L_STREET,
B5_0_X3_1,B5_0_X3_1,Forest Hills / Queens Center,Synthetic infill stop for demo feed,40.728232,-73.856342,Z1,,0,,,1,L_STREET,
B5_0_X4_1,B5_0_X4_1,Queens Center / Jackson Heights,Synthetic infill stop for demo feed,40.740480,-73.880740,Z1,,0,,,1,L_STREET,
B5_0_X5_1,B5_0_X5_1,Jackson Heights / Sunnyside 1,Synthetic infill stop for demo feed,40.742010,-73.900514,Z1,,0,,,1,L_STREET,
B5_0_X5_2,B5_0_X5_2,Jackson Heights / Sunnyside 2,Synthetic infill stop for demo feed,40.742255,-73.912607,Z1,,0,,,1,L_STREET,
B5_0_X6_1,B5_0_X6_1,Sunnyside / Long Island City,Synthetic infill stop for demo feed,40.743491,-73.936794,Z1,,0,,,1,L_STREET,
B5_0_X7_1,B5_0_X7_1,Long Island City / Grand Central,Synthetic infill stop for demo feed,40.748753,-73.962915,Z1,,0,,,1,L_STREET,
B5_1_X1_1,B5_1_X1_1,Grand Central / Long Island City,Synthetic infill stop for demo feed,40.748754,-73.962921,Z1,,0,,,1,L_STREET,
B5_1_X2_1,B5_1_X2_1,Long Island City / Sunnyside,Synthetic infill stop for demo feed,40.743491,-73.936788,Z1,,0,,,1,L_STREET,
B5_1_X3_1,B5_1_X3_1,Sunnyside / Jackson Heights 1,Synthetic infill stop for demo feed,40.742255,-73.912607,Z1,,0,,,1,L_STREET,
B5_1_X3_2,B5_1_X3_2,Sunnyside / Jackson Heights 2,Synthetic infill stop for demo feed,40.742010,-73.900514,Z1,,0,,,1,L_STREET,
B5_1_X4_1,B5_1_X4_1,Jackson Heights / Queens Center,Synthetic infill stop for demo feed,40.740477,-73.880735,Z1,,0,,,1,L_STREET,
B5_1_X5_1,B5_1_X5_1,Queens Center / Forest Hills,Synthetic infill stop for demo feed,40.728234,-73.856347,Z1,,0,,,1,L_STREET,
B5_1_X6_1,B5_1_X6_1,Forest Hills / Jamaica Center 1,Synthetic infill stop for demo feed,40.714620,-73.829541,Z1,,0,,,1,L_STREET,
B5_1_X6_2,B5_1_X6_2,Forest Hills / Jamaica Center 2,Synthetic infill stop for demo feed,40.708971,-73.814942,Z1,,0,,,1,L_STREET,
B5_1_X7_1,B5_1_X7_1,Jamaica Center / JFK Terminal 8 1,Synthetic infill stop for demo feed,40.689942,-73.805562,Z1,,0,,,1,L_STREET,
B5_1_X7_2,B5_1_X7_2,Jamaica Center / JFK Terminal 8 2,Synthetic infill stop for demo feed,40.677786,-73.809924,Z1,,0,,,1,L_STREET,
B5_1_X7_3,B5_1_X7_3,Jamaica Center / JFK Terminal 8 3,Synthetic infill stop for demo feed,40.666256,-73.807691,Z1,,0,,,1,L_STREET,
B5_1_X7_4,B5_1_X7_4,Jamaica Center / JFK Terminal 8 4,Synthetic infill stop for demo feed,40.655409,-73.799290,Z1,,0,,,1,L_STREET,
B6_0_X1_1,B6_0_X1_1,Harlem-125 St / Museum Mile 1,Synthetic infill stop for demo feed,40.805002,-73.951786,Z1,,0,,,1,L_STREET,
B6_0_X1_2,B6_0_X1_2,Harlem-125 St / Museum Mile 2,Synthetic infill stop for demo feed,40.800658,-73.955353,Z1,,0,,,1,L_STREET,
B6_0_X1_3,B6_0_X1_3,Harlem-125 St / Museum Mile 3,Synthetic infill stop for demo feed,40.795443,-73.957465,Z1,,0,,,1,L_STREET,
B6_0_X1_4,B6_0_X1_4,Harlem-125 St / Museum Mile 4,Synthetic infill stop for demo feed,40.790229,-73.959577,Z1,,0,,,1,L_STREET,
B6_0_X1_5,B6_0_X1_5,Harlem-125 St / Museum Mile 5,Synthetic infill stop for demo feed,40.785014,-73.961689,Z1,,0,,,1,L_STREET,
B6_0_X2_1,B6_0_X2_1,Museum Mile / Upper East Side 86 St,Synthetic infill stop for demo feed,40.779450,-73.959800,Z1,,0,,,1,L_STREET,
B6_0_X3_1,B6_0_X3_1,Upper East Side 86 St / 5 Av / 59 St 1,Synthetic infill stop for demo feed,40.776075,-73.961258,Z1,,0,,,1,L_STREET,
B6_0_X3_2,B6_0_X3_2,Upper East Side 86 St / 5 Av / 59 St 2,Synthetic infill stop for demo feed,40.772671,-73.966194,Z1,,0,,,1,L_STREET,
B6_0_X3_3,B6_0_X3_3,Upper East Side 86 St / 5 Av / 59 St 3,Synthetic infill stop for demo feed,40.768436,-73.969997,Z1,,0,,,1,L_STREET,
B6_0_X4_1,B6_0_X4_1,5 Av / 59 St / Grand Central 1,Synthetic infill stop for demo feed,40.760166,-73.972552,Z1,,0,,,1,L_STREET,
B6_0_X4_2,B6_0_X4_2,5 Av / 59 St / Grand Central 2,Synthetic infill stop for demo feed,40.756423,-73.974803,Z1,,0,,,1,L_STREET,
B6_0_X5_1,B6_0_X5_1,Grand Central / Bryant Park,Synthetic infill stop for demo feed,40.753149,-73.980194,Z1,,0,,,1,L_STREET,
B6_0_X6_1,B6_0_X6_1,Bryant Park / Times Sq-42 St,Synthetic infill stop for demo feed,40.755956,-73.983985,Z2,,0,,,1,L_STREET,
B6_1_X1_1,B6_1_X1_1,Times Sq-42 St / Bryant Park,Synthetic infill stop for demo feed,40.755948,-73.983983,Z2,,0,,,1,L_STREET,
B6_1_X2_1,B6_1_X2_1,Bryant Park / Grand Central,Synthetic infill stop for demo feed,40.753149,-73.980194,Z2,,0,,,1,L_STREET,
B6_1_X3_1,B6_1_X3_1,Grand Central / 5 Av / 59 St 1,Synthetic infill stop for demo feed,40.756431,-73.974798,Z1,,0,,,1,L_STREET,
